FBbi label	Fbbi URL	Fbbi subclass of	Fbbi subclass of label	description/definition	Notes	EDAM Direct hit	EDAM Drect hit label	EDAM subclass of	EDAM subclass_of label	EDAM superclass of	EDAM superclass-of label
imaging method	http://purl.obolibrary.org/obo/FBbi_00000222					No need to map?					
portrayed image	http://purl.obolibrary.org/obo/FBbi_00000266					No need to map?					
diagram	http://purl.obolibrary.org/obo/FBbi_00000033					No need to map?					
graphic illustration	http://purl.obolibrary.org/obo/FBbi_00000223					No need to map?					
camera lucida assisted graphic	http://purl.obolibrary.org/obo/FBbi_00000228					No need to map?					
computer graphic	http://purl.obolibrary.org/obo/FBbi_00000224					No need to map?					
animation	http://purl.obolibrary.org/obo/FBbi_00000267					No need to map?					
black and white graphic	http://purl.obolibrary.org/obo/FBbi_00000225					No need to map?					
color graphic	http://purl.obolibrary.org/obo/FBbi_00000226					No need to map?					
grey scale graphic	http://purl.obolibrary.org/obo/FBbi_00000227					No need to map?					
free hand graphic	http://purl.obolibrary.org/obo/FBbi_00000229					No need to map?					
line art graphic	http://purl.obolibrary.org/obo/FBbi_00000230					No need to map?					
charcoal pencil graphic	http://purl.obolibrary.org/obo/FBbi_00000231					No need to map?					
colored pencil graphic	http://purl.obolibrary.org/obo/FBbi_00000232					No need to map?					
graphite pencil graphic	http://purl.obolibrary.org/obo/FBbi_00000233					No need to map?					
painted graphic	http://purl.obolibrary.org/obo/FBbi_00000235					No need to map?					
pen and ink graphic	http://purl.obolibrary.org/obo/FBbi_00000234					No need to map?					
montage	http://purl.obolibrary.org/obo/FBbi_00000261					No need to map?					
recorded image	http://purl.obolibrary.org/obo/FBbi_00000265					No need to map?					
macroscopy	http://purl.obolibrary.org/obo/FBbi_00000240	http://purl.obolibrary.org/obo/FBbi_00000265	recorded image		proposed hierarchical placement	no direct hit		http://edamontology.org/topic_3382	Imaging		
microscopy	http://purl.obolibrary.org/obo/FBbi_00000241					http://edamontology.org/topic_Microscopy	Microscopy	http://edamontology.org/topic_3382	Imaging		
microscopy with lenses	http://purl.obolibrary.org/obo/FBbi_00000343				proposed hierarchical placement	no direct hit		http://edamontology.org/topic_Microscopy	Microscopy	http://edamontology.org/topic_3385	Light microscopy
